623529开头的银行卡是中国银联支付标记借记卡 623529开头的银行卡号数字长度为19位 如：623529xxxxxxxxxxxxx
62360604开头的银行卡是筠连中成村镇银行借记卡 62360604开头的银行卡号数字长度为19位 如：62360604xxxxxxxxxxx
62360606开头的银行卡是南部县中成村镇银行借记卡 62360606开头的银行卡号数字长度为19位 如：62360606xxxxxxxxxxx
62360609开头的银行卡是南充嘉陵中成村镇银行借记卡 62360609开头的银行卡号数字长度为19位 如：62360609xxxxxxxxxxx
62360612开头的银行卡是昆明马金铺中成村镇银行借记卡 62360612开头的银行卡号数字长度为19位 如：62360612xxxxxxxxxxx
62360613开头的银行卡是昆明东川中成村镇银行借记卡 62360613开头的银行卡号数字长度为19位 如：62360613xxxxxxxxxxx
62360610开头的银行卡是昆明石林中成村镇银行借记卡 62360610开头的银行卡号数字长度为19位 如：62360610xxxxxxxxxxx
62360614开头的银行卡是昆明禄劝中成村镇银行借记卡 62360614开头的银行卡号数字长度为19位 如：62360614xxxxxxxxxxx
62360615开头的银行卡是昆明寻甸中成村镇银行借记卡 62360615开头的银行卡号数字长度为19位 如：62360615xxxxxxxxxxx
62360616开头的银行卡是玉溪澄江中成村镇银行借记卡 62360616开头的银行卡号数字长度为19位 如：62360616xxxxxxxxxxx
62360611开头的银行卡是大理古城中成村镇银行借记卡 62360611开头的银行卡号数字长度为19位 如：62360611xxxxxxxxxxx
62360617开头的银行卡是泸水中成村镇银行借记卡 62360617开头的银行卡号数字长度为19位 如：62360617xxxxxxxxxxx
62360618开头的银行卡是鄯善中成村镇银行借记卡 62360618开头的银行卡号数字长度为19位 如：62360618xxxxxxxxxxx
62360619开头的银行卡是富蕴中成村镇银行借记卡 62360619开头的银行卡号数字长度为19位 如：62360619xxxxxxxxxxx
623608001开头的银行卡是德庆华润村镇银行借记卡 623608001开头的银行卡号数字长度为19位 如：623608001xxxxxxxxxx
623608002开头的银行卡是百色右江华润村镇银行借记卡 623608002开头的银行卡号数字长度为19位 如：623608002xxxxxxxxxx
623609001开头的银行卡是江苏沛县汉源村镇银行借记卡 623609001开头的银行卡号数字长度为19位 如：623609001xxxxxxxxxx
623609002开头的银行卡是江苏新沂汉源村镇银行借记卡 623609002开头的银行卡号数字长度为19位 如：623609002xxxxxxxxxx
62361026开头的银行卡是西安高陵阳光村镇银行借记卡 62361026开头的银行卡号数字长度为18位 如：62361026xxxxxxxxxx
62361027开头的银行卡是西安高陵阳光村镇银行借记卡 62361027开头的银行卡号数字长度为18位 如：62361027xxxxxxxxxx
62361025开头的银行卡是陕西洛南阳光村镇银行借记卡 62361025开头的银行卡号数字长度为18位 如：62361025xxxxxxxxxx
62361028开头的银行卡是陕西洛南阳光村镇银行借记卡 62361028开头的银行卡号数字长度为18位 如：62361028xxxxxxxxxx
623502001开头的银行卡是浙江缙云杭银村镇银行借记卡 623502001开头的银行卡号数字长度为18位 如：623502001xxxxxxxxx
623512001开头的银行卡是江苏邳州陇海村镇银行股份有限公司借记卡 623512001开头的银行卡号数字长度为19位 如：623512001xxxxxxxxxx
623045001开头的银行卡是定安合丰村镇银行借记卡 623045001开头的银行卡号数字长度为19位 如：623045001xxxxxxxxxx
623607006开头的银行卡是澳洲联邦银行（辛集）村镇银行借记卡 623607006开头的银行卡号数字长度为19位 如：623607006xxxxxxxxxx
623607008开头的银行卡是澳洲联邦银行（磁县）村镇银行借记卡 623607008开头的银行卡号数字长度为19位 如：623607008xxxxxxxxxx
623607007开头的银行卡是澳洲联邦银行（永年）村镇银行借记卡 623607007开头的银行卡号数字长度为19位 如：623607007xxxxxxxxxx
623607002开头的银行卡是澳洲联邦银行登封村镇银行借记卡 623607002开头的银行卡号数字长度为19位 如：623607002xxxxxxxxxx
623607003开头的银行卡是澳洲联邦村镇银行兰考村镇银行借记卡 623607003开头的银行卡号数字长度为19位 如：623607003xxxxxxxxxx
623607004开头的银行卡是澳洲联邦村镇银行伊川村镇银行借记卡 623607004开头的银行卡号数字长度为19位 如：623607004xxxxxxxxxx
623607010开头的银行卡是澳洲联邦村镇银行温县村镇银行借记卡 623607010开头的银行卡号数字长度为19位 如：623607010xxxxxxxxxx
623607001开头的银行卡是澳洲联邦村镇银行济源村镇银行借记卡 623607001开头的银行卡号数字长度为19位 如：623607001xxxxxxxxxx
623607005开头的银行卡是澳洲联邦银行(渑池)村镇银行借记卡 623607005开头的银行卡号数字长度为19位 如：623607005xxxxxxxxxx
623607009开头的银行卡是澳洲联邦银行(永城)村镇银行借记卡 623607009开头的银行卡号数字长度为19位 如：623607009xxxxxxxxxx
623504010开头的银行卡是天津滨海德商村镇银行借记卡 623504010开头的银行卡号数字长度为19位 如：623504010xxxxxxxxxx
62351501开头的银行卡是江苏丹阳保得村镇银行借记卡 62351501开头的银行卡号数字长度为19位 如：62351501xxxxxxxxxxx
623504002开头的银行卡是余杭德商村镇银行借记卡 623504002开头的银行卡号数字长度为19位 如：623504002xxxxxxxxxx
623504008开头的银行卡是海宁德商村镇银行借记卡 623504008开头的银行卡号数字长度为19位 如：623504008xxxxxxxxxx
623504004开头的银行卡是浙江秀洲德商村镇银行借记卡 623504004开头的银行卡号数字长度为19位 如：623504004xxxxxxxxxx
623504009开头的银行卡是浙江定海德商村镇银行借记卡 623504009开头的银行卡号数字长度为19位 如：623504009xxxxxxxxxx
623504001开头的银行卡是范县德商村镇银行借记卡 623504001开头的银行卡号数字长度为19位 如：623504001xxxxxxxxxx
623517001开头的银行卡是襄城汇浦村镇银行借记卡 623517001开头的银行卡号数字长度为19位 如：623517001xxxxxxxxxx
623504003开头的银行卡是民权德商村镇银行借记卡 623504003开头的银行卡号数字长度为19位 如：623504003xxxxxxxxxx
623504006开头的银行卡是宁陵德商村镇银行借记卡 623504006开头的银行卡号数字长度为19位 如：623504006xxxxxxxxxx
623504007开头的银行卡是睢县德商村镇银行借记卡 623504007开头的银行卡号数字长度为19位 如：623504007xxxxxxxxxx
62168305开头的银行卡是江苏溧水民丰村镇银行借记卡 62168305开头的银行卡号数字长度为19位 如：62168305xxxxxxxxxxx
62168301开头的银行卡是江苏丰县民丰村镇银行借记卡 62168301开头的银行卡号数字长度为19位 如：62168301xxxxxxxxxxx
62168304开头的银行卡是江苏灌云民丰村镇银行借记卡 62168304开头的银行卡号数字长度为19位 如：62168304xxxxxxxxxxx
62168302开头的银行卡是江苏灌南民丰村镇银行借记卡 62168302开头的银行卡号数字长度为19位 如：62168302xxxxxxxxxxx
62168309开头的银行卡是安徽宿松民丰村镇银行借记卡 62168309开头的银行卡号数字长度为19位 如：62168309xxxxxxxxxxx
62168308开头的银行卡是安徽明光民丰村镇银行借记卡 62168308开头的银行卡号数字长度为19位 如：62168308xxxxxxxxxxx
62168306开头的银行卡是山东梁山民丰村镇银行借记卡 62168306开头的银行卡号数字长度为19位 如：62168306xxxxxxxxxxx
62168303开头的银行卡是山东肥城民丰村镇银行借记卡 62168303开头的银行卡号数字长度为19位 如：62168303xxxxxxxxxxx
623519533开头的银行卡是庆阳市西峰瑞信村镇银行借记卡 623519533开头的银行卡号数字长度为18位 如：623519533xxxxxxxxx
62352501开头的银行卡是浙江永嘉恒升村镇银行借记卡 62352501开头的银行卡号数字长度为19位 如：62352501xxxxxxxxxxx
623525001开头的银行卡是惠水恒升村镇银行借记卡 623525001开头的银行卡号数字长度为19位 如：623525001xxxxxxxxxx
623530953开头的银行卡是香河益民村镇银行借记卡 623530953开头的银行卡号数字长度为18位 如：623530953xxxxxxxxx
623532001开头的银行卡是江苏洪泽金阳光村镇银行借记卡 623532001开头的银行卡号数字长度为19位 如：623532001xxxxxxxxxx
62314061开头的银行卡是大洼恒丰村镇银行借记卡 62314061开头的银行卡号数字长度为18位 如：62314061xxxxxxxxxx
62314062开头的银行卡是盘山安泰村镇银行股份有限公司借记卡 62314062开头的银行卡号数字长度为18位 如：62314062xxxxxxxxxx
623535002开头的银行卡是浙江庆元泰隆村镇银行借记卡 623535002开头的银行卡号数字长度为16位 如：623535002xxxxxxx
623535001开头的银行卡是湖北大冶泰隆村镇银行借记卡 623535001开头的银行卡号数字长度为16位 如：623535001xxxxxxx
623538001开头的银行卡是浙江龙游义商村镇银行借记卡 623538001开头的银行卡号数字长度为19位 如：623538001xxxxxxxxxx
62355001开头的银行卡是汝州玉川村镇银行借记卡 62355001开头的银行卡号数字长度为18位 如：62355001xxxxxxxxxx
62355358开头的银行卡是沂源博商村镇银行借记卡 62355358开头的银行卡号数字长度为18位 如：62355358xxxxxxxxxx
62355701开头的银行卡是北京大兴华夏村镇银行借记卡 62355701开头的银行卡号数字长度为16位 如：62355701xxxxxxxx
62355702开头的银行卡是四川江油华夏村镇银行借记卡 62355702开头的银行卡号数字长度为16位 如：62355702xxxxxxxx
62355703开头的银行卡是昆明呈贡华夏村镇银行借记卡 62355703开头的银行卡号数字长度为16位 如：62355703xxxxxxxx
623558618开头的银行卡是浙江富阳恒通村镇银行借记卡 623558618开头的银行卡号数字长度为19位 如：623558618xxxxxxxxxx
62355865开头的银行卡是浙江松阳恒通村镇银行借记卡 62355865开头的银行卡号数字长度为18位 如：62355865xxxxxxxxxx
623558611开头的银行卡是鹰潭月湖恒通村镇银行借记卡 623558611开头的银行卡号数字长度为19位 如：623558611xxxxxxxxxx
623558616开头的银行卡是横峰恒通村镇银行借记卡 623558616开头的银行卡号数字长度为19位 如：623558616xxxxxxxxxx
623558612开头的银行卡是余干恒通村镇银行借记卡 623558612开头的银行卡号数字长度为19位 如：623558612xxxxxxxxxx
62357012开头的银行卡是太原市尖草坪区信都村镇银行借记卡 62357012开头的银行卡号数字长度为19位 如：62357012xxxxxxxxxxx
62357009开头的银行卡是大同市南郊区京都村镇银行借记卡 62357009开头的银行卡号数字长度为19位 如：62357009xxxxxxxxxxx
62357010开头的银行卡是代县泓都村镇银行借记卡 62357010开头的银行卡号数字长度为19位 如：62357010xxxxxxxxxxx
62357006开头的银行卡是忻州市忻府区秀都村镇银行借记卡 62357006开头的银行卡号数字长度为19位 如：62357006xxxxxxxxxxx
62357002开头的银行卡是汾阳市九都村镇银行有限公司借记卡 62357002开头的银行卡号数字长度为19位 如：62357002xxxxxxxxxxx
62357008开头的银行卡是文水县润都村镇银行借记卡 62357008开头的银行卡号数字长度为19位 如：62357008xxxxxxxxxxx
62357011开头的银行卡是临县泉都村镇银行借记卡 62357011开头的银行卡号数字长度为19位 如：62357011xxxxxxxxxxx
62357007开头的银行卡是交口融都村镇银行借记卡 62357007开头的银行卡号数字长度为19位 如：62357007xxxxxxxxxxx
62357004开头的银行卡是寿阳县汇都村镇银行借记卡 62357004开头的银行卡号数字长度为19位 如：62357004xxxxxxxxxxx
62357003开头的银行卡是介休市华都村镇银行借记卡 62357003开头的银行卡号数字长度为19位 如：62357003xxxxxxxxxxx
62357001开头的银行卡是襄汾万都村镇银行借记卡 62357001开头的银行卡号数字长度为19位 如：62357001xxxxxxxxxxx
62357005开头的银行卡是洪洞县洪都村镇银行借记卡 62357005开头的银行卡号数字长度为19位 如：62357005xxxxxxxxxxx
62359430开头的银行卡是费县梁邹村镇银行借记卡 62359430开头的银行卡号数字长度为18位 如：62359430xxxxxxxxxx
62368001开头的银行卡是辽宁海城金海村镇银行借记卡 62368001开头的银行卡号数字长度为18位 如：62368001xxxxxxxxxx
62368002开头的银行卡是辽宁岫岩金玉村镇银行借记卡 62368002开头的银行卡号数字长度为18位 如：62368002xxxxxxxxxx
62368003开头的银行卡是辽宁千山金泉村镇银行借记卡 62368003开头的银行卡号数字长度为18位 如：62368003xxxxxxxxxx
62358101开头的银行卡是宁夏中宁青银村镇银行借记卡 62358101开头的银行卡号数字长度为19位 如：62358101xxxxxxxxxxx
623579001开头的银行卡是浙江玉环永兴村镇银行借记卡 623579001开头的银行卡号数字长度为19位 如：623579001xxxxxxxxxx
62358563开头的银行卡是铁岭新星村镇银行借记卡 62358563开头的银行卡号数字长度为18位 如：62358563xxxxxxxxxx
